Return_ID,Order_ID,Return_Date,Reason,Refund_Amount_USD,Product_ID,Customer_ID
R00001,ORD100004,7/29/2024,Late delivery,21.3,P1015,C0096
R00002,ORD100005,8/25/2023,Wrong item ordered,64.71,P1007,C0075
R00003,ORD100014,11/29/2024,Product not as expected,116.01,P1014,C0455
R00004,ORD100016,9/6/2023,Damaged item,89.84,P1028,C0409
R00005,ORD100027,11/10/2024,Customer changed mind,5.02,P1016,C0300
R00006,ORD100040,3/7/2023,Product not as expected,56.7,P1026,C0245
R00007,ORD100045,7/27/2023,Damaged item,132.1,P1030,C0377
R00008,ORD100061,1/4/2024,Damaged item,15.87,P1016,C0203
R00009,ORD100089,11/21/2023,Product not as expected,16.94,P1017,C0330
R00010,ORD100100,6/21/2025,Damaged item,11.86,P1015,C0007
R00011,ORD100101,11/11/2024,Customer changed mind,143.75,P1008,C0399
R00012,ORD100127,7/30/2025,Late delivery,35.64,P1024,C0401
R00013,ORD100168,1/20/2025,Damaged item,129.15,P1019,C0318
R00014,ORD100171,2/11/2024,Customer changed mind,1006.65,P1001,C0283
R00015,ORD100188,12/22/2024,Wrong item ordered,20.91,P1016,C0221
R00016,ORD100239,11/1/2023,Late delivery,10.37,P1009,C0040
R00017,ORD100265,5/18/2025,Customer changed mind,97.58,P1027,C0484
R00018,ORD100272,1/16/2023,Wrong item ordered,125.99,P1035,C0308
R00019,ORD100278,1/28/2023,Damaged item,55.78,P1015,C0430
R00020,ORD100279,11/8/2024,Wrong item ordered,116.46,P1022,C0112
R00021,ORD100293,12/4/2024,Product not as expected,33.09,P1033,C0075
R00022,ORD100302,5/3/2024,Damaged item,42.66,P1013,C0247
R00023,ORD100307,1/2/2026,Customer changed mind,76.44,P1007,C0372
R00024,ORD100308,5/21/2024,Customer changed mind,20.77,P1006,C0020
R00025,ORD100318,1/13/2025,Wrong item ordered,84.98,P1022,C0288
R00026,ORD100319,7/26/2023,Customer changed mind,1920.37,P1003,C0100
R00027,ORD100371,1/4/2026,Wrong item ordered,515.97,P1003,C0401
R00028,ORD100372,8/17/2024,Customer changed mind,16.61,P1006,C0005
R00029,ORD100391,12/27/2023,Product not as expected,102.69,P1024,C0130
R00030,ORD100394,1/19/2025,Late delivery,25.82,P1030,C0312
R00031,ORD100401,4/17/2023,Late delivery,18.67,P1033,C0237
R00032,ORD100425,8/18/2025,Damaged item,538.01,P1001,C0439
R00033,ORD100454,12/22/2024,Wrong item ordered,3.87,P1011,C0443
R00034,ORD100484,6/13/2023,Product not as expected,127.11,P1004,C0408
R00035,ORD100485,9/14/2024,Wrong item ordered,21.39,P1031,C0391
R00036,ORD100491,1/12/2025,Product not as expected,323.61,P1021,C0438
R00037,ORD100494,7/29/2023,Damaged item,17.91,P1009,C0246
R00038,ORD100541,7/12/2023,Wrong item ordered,176.9,P1022,C0137
R00039,ORD100545,10/23/2025,Damaged item,374.97,P1001,C0274
R00040,ORD100568,10/2/2025,Wrong item ordered,515.87,P1001,C0178
R00041,ORD100585,12/11/2025,Wrong item ordered,73.54,P1013,C0121
R00042,ORD100618,5/19/2023,Damaged item,8.52,P1012,C0484
R00043,ORD100629,6/29/2023,Late delivery,76.67,P1024,C0057
R00044,ORD100636,6/15/2025,Wrong item ordered,323.83,P1002,C0435
R00045,ORD100648,2/1/2024,Wrong item ordered,14.96,P1006,C0453
R00046,ORD100695,12/21/2023,Customer changed mind,61.81,P1010,C0297
R00047,ORD100698,10/13/2024,Damaged item,12.93,P1017,C0173
R00048,ORD100710,11/28/2025,Damaged item,105.66,P1026,C0141
R00049,ORD100713,12/22/2023,Product not as expected,602.13,P1002,C0179
R00050,ORD100730,12/21/2023,Customer changed mind,52.73,P1008,C0426
R00051,ORD100737,1/23/2025,Wrong item ordered,20.83,P1015,C0450
R00052,ORD100740,9/17/2025,Late delivery,31.87,P1027,C0435
R00053,ORD100751,10/19/2024,Product not as expected,3.06,P1009,C0214
R00054,ORD100764,11/14/2023,Wrong item ordered,63.41,P1035,C0169
R00055,ORD100775,3/25/2024,Late delivery,20.8,P1018,C0022
R00056,ORD100780,10/24/2024,Product not as expected,186.96,P1028,C0040
R00057,ORD100782,11/18/2023,Damaged item,66.18,P1014,C0213
R00058,ORD100786,4/9/2025,Late delivery,31.67,P1032,C0402
R00059,ORD100800,8/17/2025,Product not as expected,41.43,P1030,C0035
R00060,ORD100808,12/21/2024,Late delivery,123.47,P1029,C0409
R00061,ORD100812,2/12/2023,Wrong item ordered,43.07,P1032,C0379
R00062,ORD100813,4/26/2024,Product not as expected,68.13,P1034,C0451
R00063,ORD100855,5/4/2023,Late delivery,57.31,P1008,C0189
R00064,ORD100861,10/3/2023,Wrong item ordered,65.72,P1008,C0012
R00065,ORD100865,1/26/2024,Late delivery,248.64,P1013,C0214
R00066,ORD100866,11/18/2023,Damaged item,278.89,P1028,C0374
R00067,ORD100872,3/17/2025,Customer changed mind,15.66,P1005,C0163
R00068,ORD100883,12/20/2024,Customer changed mind,5.8,P1005,C0325
R00069,ORD100910,3/9/2024,Damaged item,80.97,P1019,C0383
R00070,ORD100913,12/5/2023,Damaged item,53.69,P1008,C0363
R00071,ORD100919,1/2/2025,Late delivery,4.89,P1009,C0033
R00072,ORD100972,12/21/2025,Customer changed mind,7.56,P1011,C0418
R00073,ORD100976,10/3/2025,Damaged item,13.88,P1015,C0372
