YearMonth,Year,Month_No,Category,Region_Group,Sales_Target_USD,Profit_Target_USD
2023-01,2023,1,Apparel,Coastal,219.61,80.8
2023-01,2023,1,Apparel,Inland,166.12,67.27
2023-01,2023,1,Furniture,Inland,962.15,361.23
2023-01,2023,1,Home & Kitchen,Inland,406.51,157.32
2023-01,2023,1,Office Supplies,Inland,114.82,48.91
2023-01,2023,1,Technology,Coastal,204.71,91.16
2023-01,2023,1,Technology,Inland,1657.28,446.35
2023-02,2023,2,Apparel,Inland,45.47,19.69
2023-02,2023,2,Furniture,Coastal,201.33,48.09
2023-02,2023,2,Furniture,Inland,1064.41,342.57
2023-02,2023,2,Home & Kitchen,Coastal,37.39,7.53
2023-02,2023,2,Home & Kitchen,Inland,375.62,115.71
2023-02,2023,2,Office Supplies,Inland,101.91,41.32
2023-02,2023,2,Technology,Coastal,1746.95,496.81
2023-02,2023,2,Technology,Inland,96.1,32.22
2023-03,2023,3,Apparel,Inland,49.53,33.14
2023-03,2023,3,Furniture,Inland,749.91,252.45
2023-03,2023,3,Home & Kitchen,Coastal,929.52,328.91
2023-03,2023,3,Home & Kitchen,Inland,611.61,167.47
2023-03,2023,3,Office Supplies,Coastal,14.16,6.09
2023-03,2023,3,Office Supplies,Inland,139.93,60.73
2023-03,2023,3,Technology,Coastal,109.99,34.37
2023-03,2023,3,Technology,Inland,1474.17,464.66
2023-04,2023,4,Apparel,Coastal,120.04,66.87
2023-04,2023,4,Apparel,Inland,222.28,104.35
2023-04,2023,4,Furniture,Inland,1038.96,349.97
2023-04,2023,4,Home & Kitchen,Coastal,60.58,16.11
2023-04,2023,4,Home & Kitchen,Inland,219.9,81.19
2023-04,2023,4,Office Supplies,Coastal,100.03,41.86
2023-04,2023,4,Office Supplies,Inland,153.82,58.4
2023-04,2023,4,Technology,Coastal,816.15,238.23
2023-04,2023,4,Technology,Inland,942.84,220.2
2023-05,2023,5,Apparel,Coastal,172.91,59.99
2023-05,2023,5,Furniture,Coastal,841.48,293.88
2023-05,2023,5,Furniture,Inland,1456.43,344.61
2023-05,2023,5,Home & Kitchen,Coastal,80.45,33.92
2023-05,2023,5,Office Supplies,Coastal,227.07,74.38
2023-05,2023,5,Office Supplies,Inland,345.83,96.88
2023-06,2023,6,Apparel,Coastal,91.43,49.85
2023-06,2023,6,Apparel,Inland,489.51,200.05
2023-06,2023,6,Furniture,Coastal,963.09,276.18
2023-06,2023,6,Furniture,Inland,332.74,124.97
2023-06,2023,6,Home & Kitchen,Coastal,414.47,125.68
2023-06,2023,6,Home & Kitchen,Inland,565.44,201.52
2023-06,2023,6,Office Supplies,Coastal,892.02,285.41
2023-06,2023,6,Office Supplies,Inland,310.4,123.67
2023-06,2023,6,Technology,Coastal,1128.3,174.42
2023-06,2023,6,Technology,Inland,3045.93,948.01
2023-07,2023,7,Apparel,Coastal,386.73,192.04
2023-07,2023,7,Apparel,Inland,281.77,122.26
2023-07,2023,7,Furniture,Coastal,2131.13,518.61
2023-07,2023,7,Furniture,Inland,915.65,301.25
2023-07,2023,7,Home & Kitchen,Coastal,173.45,56.76
2023-07,2023,7,Home & Kitchen,Inland,542.46,223.63
2023-07,2023,7,Office Supplies,Coastal,66.46,32.65
2023-07,2023,7,Office Supplies,Inland,347.34,130.48
2023-07,2023,7,Technology,Coastal,2242.33,611.28
2023-07,2023,7,Technology,Inland,1518.36,451.13
2023-08,2023,8,Apparel,Coastal,16.34,9.67
2023-08,2023,8,Apparel,Inland,124.49,38.16
2023-08,2023,8,Furniture,Coastal,621.66,188.16
2023-08,2023,8,Furniture,Inland,179.63,67.14
2023-08,2023,8,Home & Kitchen,Coastal,375.57,72.05
2023-08,2023,8,Home & Kitchen,Inland,627.17,199.02
2023-08,2023,8,Office Supplies,Coastal,96.13,50.4
2023-08,2023,8,Office Supplies,Inland,314.44,109.25
2023-08,2023,8,Technology,Coastal,356.28,69.29
2023-08,2023,8,Technology,Inland,909.7,319.86
2023-09,2023,9,Apparel,Coastal,52.72,22.0
2023-09,2023,9,Apparel,Inland,64.22,37.97
2023-09,2023,9,Furniture,Coastal,375.98,123.52
2023-09,2023,9,Furniture,Inland,471.46,165.46
2023-09,2023,9,Home & Kitchen,Coastal,27.85,10.47
2023-09,2023,9,Home & Kitchen,Inland,254.51,79.11
2023-09,2023,9,Office Supplies,Coastal,193.76,77.33
2023-09,2023,9,Office Supplies,Inland,687.98,224.08
